,name,Largest cavity diameter (?),Pore limiting diameter (?),Largest free pore diameter (?),Density (cm^3/g),Accessible Surface Area (m^2/cm^3),Accessible Surface Area (m^2/g),Nonaccessible Surface Area (m^2/cm^3),Nonaccessible surface area (m^2/g),Accessible volume volume fraction,Accessible Volume (cm^3/g),Nonaccessible Volume (cm^3/g),Metal type,Has open metal site,Type of open metal,Extension,overlap with Free solvent remove COREMOF,from CSD database,public,Has disorder,CSD_overlap_inCoRE,CSD_of_WoS_inCoRE,CSD_overlap_inCCDC,date_CSD,DOI_public,Note,Matched_CSD_of_CoRE,Possible_List_CSD_of_CoRE,,,,,,,,,,,,,,,,,,,,
46,ACOLIP_clean,4.91034,3.57647,4.78103,1.04949,1065.44,1015.2,0,0,0.5434,0.517777,0,Zn,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,ACOLOV_clean,8.42183,5.53552,8.41851,0.863411,2226.99,2579.3,0,0,0.6794,0.786879,0,Cd,Yes,Cd,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
14360,acs.cgd.5b01554_VAGNUP1452791_clean,6.16218,5.1323,5.87594,1.47047,1873.32,1273.96,0,0,0.572,0.388992,0,"Cu,Cs,Si",Yes,"Cu,Cs",clean,Y,N,Y,,N,,Y,10/02/2016,10.1021/acs.cgd.5b01554,"1 SI, 1 Structure",VAGNUP,,,,,,,,,,,,,,,,,,,,,
15163,acs.cgd.5b01686_WAHFUJ1434675_clean,5.00451,3.93435,5.00451,1.28464,1087.15,846.274,0,0,0.4874,0.379407,0,Cu,Yes,Cu,clean,Y,N,Y,,Y,WAHFUJ,Y,01/11/2015,10.1021/acs.cgd.5b01686,"1 SI, 1 Structure",WAHFUJ,,,,,,,,,,,,,,,,,,,,,
,acs.cgd.6b00163_UKEBOD1448508_clean,4.86973,2.55151,4.17307,1.61619,0,0,294.165,182.012,0.396,0.245021,0,Cd,No, ,clean,Y,N,Y,,Y,UKEBOD,Y,20/01/2016,10.1021/acs.cgd.6b00163,"1 SI, 1 Structure",UKEBOD,,,,,,,,,,,,,,,,,,,,,
14376,acs.cgd.6b00463_OLOMUZ1451936_clean,10.32513,7.87202,10.32103,1.07611,1950.06,1812.15,0,0,0.6638,0.616853,0,"Ca,Ag",Yes,"Ca,Ag",clean,Y,N,Y,,Y,OLOMUZ,Y,05/02/2016,10.1021/acs.cgd.6b00463,"1 SI, 1 Structure",OLOMUZ,,,,,,,,,,,,,,,,,,,,,
14380,acs.chemmater.5b03723_cm5b03723_si_004_clean,13.11818,7.33973,12.8246,0.772596,1915.1,2478.78,10.4758,13.5592,0.6956,0.900342,0,Cu,Yes,Cu,clean,Y,N,Y,,N,,Y,28/07/2015,10.1021/acs.chemmater.5b03723,"1 SI, 1 Structure",TAKKEY,,,,,,,,,,,,,,,,,,,,,
,acs.chemmater.5b03723_cm5b03723_si_005_clean,14.22819,7.4356,14.22819,0.645145,2122.45,3289.88,0,0,0.7418,1.14982,0,Cu,Yes,Cu,clean,Y,N,Y,,Y,TAKKIC,Y,28/07/2015,10.1021/acs.chemmater.5b03723,"1 SI, 1 Structure",TAKKIC,,,,,,,,,,,,,,,,,,,,,
14383,acs.chemmater.6b02817_cm6b02817_si_004_clean,10.39878,5.64581,7.91914,0.897688,1488.72,1658.39,589.747,656.962,0.6776,0.754828,0,Fe,Yes,Fe,clean,Y,N,Y,,Y,IZENOS,Y,23/06/2015,10.1021/acs.chemmater.6b02817,"1 SI, 1 Structure",IZENOS,,,,,,,,,,,,,,,,,,,,,
14384,acs.chemrev.6b00346_cr6b00346_si_001_clean,9.19439,3.959,7.03116,0.906382,2290.66,2527.25,0,0,0.6912,0.762592,0,Zn,Yes,Zn,clean,Y,N,Y,,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,
14385,acs.inorgchem.5b02108_ic5b02108_si_002_clean,7.194,7.0599,7.194,1.21033,1596.38,1318.96,0,0,0.591,0.488296,0,Ga,No, ,clean,Y,N,Y,,Y,TAKTAD,Y,21/06/2014,10.1021/acs.inorgchem.5b02108,"1 SI, 7 structure",TAKTAD,TAKMEA,TAKTAD,TAKTEH,TAKTIL,TAKTOR,TAKTUX,TAKVAF,,,,,,,,,,,,,,
,acs.inorgchem.5b02316_ic5b02316_si_002_clean,10.12066,5.58472,9.70957,1.34196,2005.01,1494.09,0,0,0.658,0.490328,0,Cu,Yes,Cu,clean,Y,N,Y,DISORDER,Y,ZADRII,Y,"	21/09/2015",10.1021/acs.inorgchem.5b02316,"1 SI, 5 Structure",ZADRII,ZADQUT,ZADRAA,ZADREE,ZADRII,ZADROO,,,,,,,,,,,,,,,,
,acs.inorgchem.5b02378_ic5b02378_si_002_clean,3.84352,3.57212,3.8244,2.34418,318.947,136.059,0,0,0.356,0.151866,0,"Dy,Ni",No, ,clean,Y,N,Y,,Y,TAKMOK,Y,15/01/2015,10.1021/acs.inorgchem.5b02378,"1 SI, 1 Structure",TAKMOK,,,,,,,,,,,,,,,,,,,,,
