,cif_id,accessible_surface_area
70,bcu+N262+E223,4884.4619140625
71,bcu+N642+E39,5786.267578125
72,bcu+N228+E1,5362.15087890625
73,bcu+N293+E225,5862.162109375
74,bcu+N189+E225,4759.458984375
75,bcu+N362+E39,5746.08837890625
76,bcu+N656+E39,5397.8662109375
77,bcu+N362+E1,5047.412109375
0,fsc+N201+N613,3846.49267578125
1,fsc+N614+N162,3527.2890625
2,fsc+N91+N457,3658.98828125
3,fsc+N255+N162,3623.2734375
4,fsc+N255+N33,2904.50732421875
5,fsc+N255+N559,3117.681640625
6,fsc+N614+N274,3830.8671875
7,fsc+N12+N392,3777.29443359375
8,fsc+N1+N457,3373.267578125
9,fsc+N399+N457,3379.96435546875
10,fsc+N91+N483,3451.39453125
11,fsc+N129+N214,3397.82177734375
12,fsc+N202+N457,3540.68212890625
13,fsc+N255+N392,4033.99658203125
14,fsc+N129+N678,3475.94873046875
15,fsc+N201+N151,3240.4521484375
16,fsc+N665+N274,3560.77197265625
17,fsc+N202+N208,3482.64501953125
18,fsc+N614+N560,3598.71923828125
19,fsc+N201+N457,3982.65625
20,fsc+N665+N392,4165.69580078125
21,fsc+N665+N214,3683.54248046875
22,fsc+N255+N483,4254.98388671875
23,fsc+N91+N678,3817.47412109375
24,fsc+N665+N680,3377.73193359375
25,fsc+N201+N560,3422.3759765625
26,fsc+N614+N151,3540.68212890625
27,fsc+N255+N208,3770.59814453125
28,fsc+N614+N678,3603.18359375
29,fsc+N201+N570,3518.3603515625
30,fsc+N614+N570,3625.50537109375
31,fsc+N201+N274,3741.57958984375
32,fsc+N614+N392,4042.92529296875
33,fsc+N614+N283,3359.87451171875
34,fsc+N614+N214,3712.56103515625
35,fsc+N255+N560,3701.39990234375
36,fsc+N201+N678,3799.6162109375
37,fsc+N201+N214,3636.66650390625
38,fsc+N12+N208,3877.7431640625
39,fsc+N201+N483,4103.19482421875
40,fsc+N665+N483,4011.6748046875
41,fsc+N614+N167,3475.94873046875
42,fsc+N255+N457,3891.13623046875
43,fsc+N614+N680,3674.61376953125
44,fsc+N255+N678,3944.708984375
45,fsc+N12+N678,3124.37841796875
46,fsc+N255+N214,4339.80712890625
47,fsc+N12+N274,3415.67919921875
48,fsc+N255+N690,3144.4677734375
49,fsc+N665+N457,4089.80126953125
50,fsc+N255+N55,3752.740234375
51,fsc+N91+N392,3522.82470703125
52,fsc+N255+N680,3621.041015625
